,기준년도,사용본거지시읍면동_행정동기준,차명,연료
88767,2022,서울특별시 강남구 대치동,EV6,전기
88768,2022,서울특별시 강남구 대치동,EV6,전기
88769,2022,서울특별시 강남구 대치동,니로 EV,전기
88770,2022,서울특별시 동작구 상도동,Peugeot e-2008 SUV,전기
88771,2022,서울특별시 동작구 상도동,Model 3 Long Range,전기
88772,2022,서울특별시 강남구 대치동,EV6,전기
88773,2022,서울특별시 강남구 대치동,EV6,전기
88774,2022,서울특별시 강남구 대치동,EV6,전기
88775,2022,서울특별시 강남구 대치동,EV6,전기
88776,2022,서울특별시 강남구 대치동,EV6,전기
88777,2022,서울특별시 강남구 대치동,니로 EV,전기
88778,2022,서울특별시 강남구 대치동,니로 EV,전기
88779,2022,서울특별시 강남구 대치동,EV6,전기
88780,2022,서울특별시 강남구 대치동,EV6,전기
88781,2022,서울특별시 강남구 대치동,니로 EV,전기
88782,2022,서울특별시 강남구 대치동,니로 EV,전기
88783,2022,서울특별시 강남구 대치동,EV6,전기
88784,2022,서울특별시 강남구 대치동,EV6,전기
88785,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88786,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88787,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88788,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88789,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88790,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88791,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88792,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88793,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88794,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88795,2022,서울특별시 강남구 대치동,EV6,전기
88796,2022,서울특별시 강남구 대치동,EV6,전기
88797,2022,서울특별시 강남구 대치동,EV6,전기
88798,2022,서울특별시 강남구 대치동,EV6,전기
88799,2022,서울특별시 강남구 대치동,EV6,전기
88800,2022,서울특별시 강남구 대치동,니로 EV,전기
88801,2022,서울특별시 강남구 대치동,니로 EV,전기
88802,2022,서울특별시 강남구 대치동,니로 EV,전기
88803,2022,서울특별시 강남구 대치동,니로 EV,전기
88804,2022,서울특별시 강남구 대치동,EV6,전기
88805,2022,서울특별시 강남구 대치동,EV6,전기
88806,2022,서울특별시 강남구 대치동,니로 EV,전기
88807,2022,서울특별시 강남구 대치동,EV6,전기
88808,2022,서울특별시 강남구 대치동,EV6,전기
88809,2022,서울특별시 강남구 대치동,EV6,전기
88810,2022,서울특별시 강남구 대치동,EV6,전기
88811,2022,서울특별시 강남구 대치동,EV6,전기
88812,2022,서울특별시 강남구 대치동,니로 EV,전기
88813,2022,서울특별시 강남구 대치동,니로 EV,전기
88814,2022,서울특별시 강남구 대치동,EV6,전기
88815,2022,서울특별시 강남구 대치동,니로 EV,전기
88816,2022,서울특별시 강남구 대치동,니로 EV,전기
88817,2022,서울특별시 강남구 대치동,니로 EV,전기
88818,2022,서울특별시 동작구 상도동,니로 EV,전기
88819,2022,서울특별시 동작구 상도동,니로 EV,전기
88820,2022,서울특별시 동작구 상도동,코나 일렉트릭 (KONA ELECTRIC,전기
